Separation,Force
0.42,-2.81
0.52,-1.57
0.62,-0.65
0.72,0.00
0.82,0.43
0.92,0.84
1.02,1.12
0.42,-2.72
0.52,-1.56
0.62,-0.71
0.72,-0.05
0.82,0.49
0.92,0.89
1.02,1.15
0.42,-2.56
0.52,-1.40
0.62,-0.58
0.72,0.02
0.82,0.46
0.92,0.79
1.02,1.11
0.42,-2.74
0.52,-1.47
0.62,-0.63
0.72,-0.03
0.82,0.46
0.92,0.81
1.02,1.12
