Separation,Force
0.55,4.99
0.55,4.77
0.55,4.90
0.55,4.84
0.65,3.45
0.65,3.60
0.65,3.47
0.65,3.44
0.75,2.55
0.75,2.54
0.75,2.62
0.75,2.60
0.85,1.99
0.85,2.02
0.85,2.03
0.85,2.06
